ZIP,CASES,DEATHS

72387,579,22

71923,179,5

71630,410,7

71658,429,7

72032,3320,31

72947,522,3

72566,319,9

71968,2448,64

72132,360,4

72425,1466,17

71859,547,5

71913,2203,36

71859,578,14

72553,1457,47

72577,556,2

72075,750,6

72152,4160,102

72854,1013,8

71845,170,3

72458,808,17

72311,1110,18

71643,2306,17

71822,447,38

72826,592,3

72064,1723,26

72776,426,6

72672,151,2

71839,1419,16

72313,2267,68

72036,212,1

71935,182,8

71860,299,14

72648,306,20

71726,377,9

72016,137,0

72069,741,16

71950,266,1

72479,1039,18

71932,354,5

72679,2707,37

72064,207,4

72164,11830,209

72425,640,24

72122,2790,29

72833,213,1

72679,198,1

72906,4820,92

71823,1341,16

72577,358,10

72322,1750,10

72663,398,21

71758,1120,49

72679,209,3

72701,11392,150

72137,1452,32

72074,116,0

72833,1339,31

94666,23412,461

95223,3,0

95642,329,16

95966,3087,52

95257,342,18

95987,551,6

94528,18640,242

95531,180,1

95721,1328,4

93750,30858,436

95920,652,3

95553,567,10

92283,12882,335

92389,226,15

93389,33928,416

93242,8246,83

95493,695,15

96123,766,1

90090,300614,7000

93653,5020,74

94914,7097,128

93653,78,2

95469,1136,21

93665,9531,155

96110,28,0

96133,180,2

93932,11419,91

94562,1963,15

95959,623,8

92899,60583,1447

95736,4178,57

96103,63,0

92881,66732,1295

95680,25600,491

95023,1442,15

92357,62774,1072

92161,55004,870

94146,12155,140

95230,21729,489

93475,4174,32

94060,11149,159

93199,9820,122

95106,24313,389

95064,2808,25

96013,1889,30

96126,6,0

96057,205,0

94534,7389,76

95439,9402,136

95230,18436,397

95668,1865,12

96075,880,8

96010,27,0

93207,17590,288

95346,275,4

93099,14300,165

95776,3207,59

95918,1323,10

80260,13724,256

81146,307,9

80165,12534,397

81147,66,0

81087,30,0

81054,15,0

80314,5509,85

80603,930,41

81228,393,20

80802,15,0

80444,70,1

81148,66,0

81138,36,1

81033,91,1

81069,20,0

81416,201,3

80291,17882,459

81320,3,0

80134,3940,64

80426,1426,10

80997,10031,196

80830,215,3

80816,669,1

81650,1153,5

80403,28,0

80468,149,1

81224,306,7

81130,3,0

81069,33,2

80480,9,0

80470,8333,307

81021,4,0

80815,130,3

81328,354,2

81228,133,0

80539,4013,56

81064,70,1

80818,24,0

80722,1213,12

81643,1357,11

81130,21,0

81625,62,1

81334,200,5

81422,463,13

80742,854,48

81059,138,6

81427,38,2

80449,92,1

80746,48,0

81642,278,2

81041,172,0

81019,1982,41

81650,28,0

81144,121,3

80428,204,8

81131,135,2

81433,11,0

81430,102,0

80744,40,1

80498,679,4

80863,220,4

80740,96,0

80623,6004,159

80807,213,1

06491,22893,1431

06199,17516,1469

06758,2192,143

06481,1937,196

06408,16594,1126

06376,3660,138

06075,1724,68

06233,1394,17

19961,3447,120

19809,12776,339

19969,7854,226

20420,16812,642

32658,10114,74

32063,1752,19

32402,6667,132

32026,1222,15

32954,11083,366

33302,83962,1521

32442,702,14

34269,3553,157

34429,3178,130

32065,5966,117

34138,14135,253

32094,4214,71

34269,1654,29

32359,886,11

32238,34462,513

32559,13328,269

32137,2085,37

32328,755,4

32333,3052,55

32643,604,18

33960,597,6

32465,935,15

32096,901,9

33865,1582,16

34142,2199,43

34611,3629,165

33960,2576,113

33587,47080,759

32452,886,12

32970,3737,125

32442,3102,84

32337,661,9

32066,1273,16

34737,8479,225

33911,22886,506

32316,12059,112

32644,1124,12

32360,533,11

32340,1075,24

34215,13023,327

34489,10706,347

34997,5296,164

33039,182522,3615

33037,2199,25

32097,2441,50

32567,6188,130

34973,1724,38

32831,45241,545

33896,13978,197

33459,50814,1562

33574,10637,236

33784,25244,816

33877,22634,614

32112,2355,50

32565,5876,86

