Zip Code,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
95553,0.042,0.006,0.018,0.069,0.865

92283,0.001,0.005,0.03,0.128,0.836

92389,0.033,0.011,0.008,0.058,0.889

93389,0.022,0.028,0.105,0.177,0.668

93242,0.075,0.016,0.049,0.094,0.766

95493,0.003,0.004,0.007,0.136,0.849

96123,0.064,0.068,0.162,0.225,0.482

90090,0.021,0.013,0.049,0.131,0.786

93653,0.019,0.059,0.048,0.124,0.751

94914,0.011,0,0.046,0.141,0.802

93653,0.01,0.094,0.049,0.186,0.661

95469,0.002,0.003,0.004,0.222,0.77

93665,0.026,0.036,0.089,0.146,0.703

96110,0.068,0.019,0.095,0.204,0.615

96133,0.011,0.026,0.012,0.07,0.88

93932,0.023,0.006,0.066,0.141,0.763

94562,0.017,0.026,0.033,0.149,0.773

95959,0.003,0.054,0.084,0.177,0.682

92899,0.023,0.021,0.046,0.156,0.754

95736,0.012,0.023,0.072,0.201,0.693

96103,0.063,0.067,0.053,0.146,0.671

92881,0.026,0.014,0.041,0.116,0.803

95680,0.025,0.028,0.062,0.164,0.722

95023,0.018,0.004,0.063,0.175,0.739

92357,0.027,0.022,0.048,0.134,0.768

92161,0.017,0.023,0.034,0.126,0.8

94146,0.017,0.011,0.035,0.121,0.817

95230,0.054,0.019,0.081,0.165,0.68

93475,0.025,0.024,0.037,0.169,0.745

94060,0.016,0.013,0.058,0.126,0.786

93199,0.015,0.02,0.075,0.153,0.737

95106,0.015,0.014,0.04,0.168,0.764

95064,0.008,0,0.086,0.109,0.797

96013,0.095,0.056,0.071,0.232,0.547

96126,0.14,0.053,0.047,0.143,0.617

96057,0.132,0.074,0.082,0.167,0.546

94534,0.043,0.046,0.035,0.148,0.728

95439,0.022,0.012,0.022,0.149,0.795

95230,0.032,0.028,0.062,0.173,0.705

95668,0.058,0.031,0.08,0.163,0.669

96075,0.057,0.062,0.141,0.195,0.545

96010,0.081,0.07,0.055,0.201,0.592

93207,0.025,0.039,0.115,0.136,0.685

95346,0.008,0.043,0.084,0.212,0.653

93099,0.024,0.011,0.033,0.156,0.777

95776,0.007,0.005,0.04,0.156,0.791

95918,0.057,0.035,0.071,0.167,0.669

80260,0.032,0.027,0.071,0.185,0.685

81146,0.052,0.133,0.094,0.228,0.493

80165,0.013,0.026,0.065,0.193,0.703

81147,0.041,0.041,0.155,0.276,0.488

81087,0.113,0.053,0.194,0.206,0.435

81054,0.033,0.036,0.172,0.191,0.567

80314,0.008,0.015,0.032,0.195,0.75

80603,0.018,0.005,0.042,0.201,0.734

81228,0.038,0.045,0.134,0.138,0.645

80802,0.016,0.187,0.106,0.398,0.292

80444,0.002,0.015,0.138,0.123,0.723

81148,0.06,0.106,0.093,0.195,0.545

81138,0.034,0.072,0.076,0.175,0.644

81033,0.002,0.034,0.08,0.294,0.59

81069,0.017,0.098,0.153,0.234,0.498

81416,0.087,0.094,0.074,0.295,0.45

80291,0.02,0.018,0.062,0.194,0.707

81320,0.052,0.039,0.066,0.252,0.591

80134,0.013,0.041,0.081,0.192,0.673

80426,0.008,0.003,0.033,0.269,0.687

80830,0.016,0.044,0.19,0.246,0.505

80997,0.031,0.089,0.081,0.196,0.603

80816,0.006,0.069,0.062,0.2,0.663

81650,0.065,0.04,0.037,0.326,0.532

80403,0.001,0.027,0.017,0.17,0.785

80468,0.006,0.002,0.05,0.187,0.754

81224,0.057,0.039,0.043,0.281,0.581

81130,0.043,0.05,0.117,0.271,0.519

81069,0.028,0.051,0.051,0.275,0.595

80480,0.021,0.027,0.09,0.342,0.52

80470,0.028,0.031,0.075,0.194,0.673

81021,0.028,0.051,0.159,0.27,0.492

80815,0.024,0.323,0.119,0.344,0.19

81228,0.002,0.016,0.036,0.193,0.753

81328,0.043,0.02,0.122,0.274,0.541

80539,0.013,0.037,0.06,0.231,0.659

81064,0.052,0.03,0.101,0.17,0.648

80818,0.013,0.068,0.196,0.403,0.321

80722,0.078,0.202,0.101,0.368,0.251

81643,0.075,0.105,0.098,0.222,0.499

81130,0.049,0.072,0.138,0.264,0.478

81625,0.041,0.142,0.162,0.284,0.371

81334,0.057,0.019,0.081,0.257,0.586

81422,0.085,0.092,0.074,0.314,0.436

80742,0.083,0.161,0.116,0.245,0.396

81059,0.004,0.047,0.102,0.194,0.653

81427,0.06,0.08,0.069,0.295,0.495

80449,0.021,0.018,0.103,0.137,0.722

80746,0.05,0.19,0.137,0.255,0.368

81642,0.019,0.014,0.016,0.318,0.633

81041,0.079,0.046,0.205,0.201,0.469

81019,0.018,0.044,0.074,0.28,0.584

81650,0.111,0.092,0.074,0.265,0.458

81144,0.061,0.144,0.11,0.242,0.444

80428,0.008,0.036,0.092,0.375,0.489

81131,0.065,0.122,0.138,0.232,0.443

81433,0.032,0.038,0.097,0.27,0.563

81430,0.043,0.058,0.074,0.26,0.565

80744,0.065,0.162,0.138,0.267,0.368

80498,0,0.001,0.064,0.151,0.784

80863,0.105,0.087,0.066,0.145,0.597

80740,0.077,0.208,0.101,0.303,0.31

80623,0.046,0.038,0.135,0.231,0.55

80807,0.038,0.284,0.133,0.255,0.29

06491,0.027,0.019,0.06,0.114,0.78

06199,0.015,0.023,0.065,0.13,0.767

06758,0.017,0.051,0.021,0.098,0.812

06481,0.003,0.007,0.055,0.128,0.807

06408,0.023,0.014,0.053,0.115,0.795

06376,0.025,0.021,0.066,0.142,0.747

06075,0.008,0.008,0.027,0.147,0.81

06233,0.022,0.041,0.082,0.137,0.718

19961,0.026,0.006,0.106,0.051,0.811

19809,0.027,0.013,0.041,0.133,0.786

19969,0.005,0.001,0.035,0.103,0.856

20420,0.012,0.013,0.069,0.164,0.743

32658,0.001,0.024,0.053,0.17,0.751

32063,0.087,0.076,0.18,0.215,0.442

32402,0.065,0.109,0.076,0.202,0.548

32026,0.106,0.168,0.172,0.173,0.381

32954,0.068,0.073,0.096,0.157,0.607

33302,0.026,0.023,0.043,0.117,0.791

32442,0.034,0.055,0.138,0.267,0.507

34269,0.051,0.049,0.101,0.158,0.64

34429,0.09,0.036,0.087,0.178,0.609

32065,0.055,0.067,0.15,0.209,0.52

34138,0.04,0.023,0.067,0.212,0.658

32094,0.047,0.026,0.288,0.254,0.385

34269,0.023,0.064,0.056,0.142,0.715

32359,0.071,0.095,0.119,0.318,0.397

32238,0.049,0.042,0.086,0.194,0.629

32559,0.019,0.052,0.095,0.31,0.524

32137,0.079,0.05,0.113,0.157,0.602

32328,0.022,0.101,0.237,0.228,0.412

32333,0.06,0.033,0.104,0.227,0.575

32643,0.016,0.151,0.069,0.324,0.44

33960,0.047,0.082,0.098,0.096,0.677

32465,0.046,0.125,0.12,0.249,0.46

32096,0.101,0.071,0.235,0.227,0.365

33865,0.114,0.041,0.179,0.186,0.48

34142,0.046,0.042,0.112,0.15,0.65

34611,0.09,0.04,0.091,0.19,0.589

33960,0.025,0.056,0.145,0.138,0.635

33587,0.023,0.031,0.069,0.155,0.722

32452,0.17,0.077,0.081,0.111,0.562

32970,0.054,0.065,0.082,0.193,0.607

32442,0.064,0.108,0.129,0.174,0.526

32337,0.019,0.017,0.099,0.183,0.682

32066,0.102,0.081,0.22,0.208,0.389

34737,0.047,0.062,0.074,0.185,0.632

33911,0.052,0.05,0.073,0.176,0.648

32316,0.051,0.022,0.071,0.156,0.7

32644,0.017,0.132,0.072,0.187,0.592

32360,0.022,0.023,0.205,0.268,0.482

32340,0.164,0.085,0.148,0.264,0.34

34215,0.074,0.037,0.062,0.201,0.626

34489,0.046,0.087,0.121,0.203,0.543

34997,0.027,0.018,0.066,0.169,0.719

33039,0.032,0.023,0.06,0.128,0.756

33037,0.007,0.001,0.014,0.159,0.819

32097,0.09,0.07,0.147,0.223,0.47

32567,0.091,0.083,0.147,0.21,0.469

34973,0.016,0.034,0.064,0.171,0.715

32831,0.02,0.02,0.072,0.164,0.724

33896,0.025,0.022,0.058,0.176,0.72

33459,0.03,0.02,0.05,0.116,0.784

33574,0.027,0.029,0.055,0.179,0.709

33784,0.025,0.019,0.074,0.133,0.75

33877,0.05,0.063,0.085,0.172,0.63

32112,0.068,0.05,0.114,0.186,0.581

32080,0.047,0.071,0.097,0.223,0.561

34948,0.077,0.022,0.08,0.173,0.648

32565,0.047,0.068,0.166,0.265,0.453

34274,0.017,0.031,0.073,0.175,0.704

32747,0.037,0.039,0.066,0.141,0.717

33521,0.037,0.036,0.064,0.235,0.628

32094,0.105,0.055,0.244,0.227,0.369

32347,0.103,0.086,0.19,0.145,0.476

32054,0.044,0.04,0.176,0.267,0.473

32739,0.035,0.066,0.089,0.192,0.618

32355,0.032,0.092,0.172,0.275,0.429

32567,0.092,0.06,0.092,0.244,0.512

32463,0.138,0.085,0.062,0.158,0.557

31510,0.085,0.117,0.23,0.152,0.416

31635,0.059,0.1,0.179,0.217,0.445

31510,0.071,0.132,0.187,0.188,0.421

39837,0.027,0.048,0.054,0.127,0.743

31087,0.02,0.089,0.107,0.29,0.494

30554,0.136,0.103,0.125,0.238,0.399

30666,0.063,0.086,0.092,0.19,0.568

30121,0.215,0.05,0.123,0.143,0.47

31783,0.129,0.078,0.109,0.202,0.483

31794,0.073,0.098,0.156,0.214,0.46

31210,0.043,0.094,0.176,0.201,0.487

31065,0.089,0.031,0.117,0.256,0.508

31553,0.047,0.129,0.15,0.164,0.51

31626,0.092,0.165,0.124,0.235,0.385

31324,0.033,0.039,0.095,0.238,0.595

30461,0.053,0.049,0.163,0.31,0.424

30816,0.105,0.109,0.087,0.208,0.492

30233,0.125,0.037,0.144,0.163,0.53

39813,0.013,0.035,0.043,0.172,0.737

31547,0.136,0.125,0.17,0.113,0.456

30451,0.037,0.045,0.177,0.264,0.477

30182,0.089,0.133,0.154,0.168,0.457

30726,0.143,0.152,0.114,0.217,0.375

31553,0.065,0.094,0.15,0.196,0.495

31412,0.035,0.04,0.144,0.158,0.624

31995,0.061,0.072,0.108,0.214,0.545

30747,0.116,0.102,0.187,0.143,0.451

30146,0.049,0.054,0.1,0.213,0.584

30609,0.054,0.057,0.06,0.226,0.603

39851,0.028,0.066,0.12,0.223,0.562

30237,0.038,0.054,0.125,0.159,0.624

31649,0.06,0.058,0.134,0.168,0.58

30156,0.039,0.049,0.116,0.225,0.572

31512,0.085,0.124,0.164,0.222,0.404

31756,0.108,0.191,0.074,0.233,0.394

30917,0.061,0.064,0.095,0.234,0.547

31637,0.098,0.134,0.123,0.203,0.441

30264,0.105,0.053,0.183,0.204,0.455

31050,0.057,0.051,0.231,0.192,0.468

31010,0.119,0.023,0.06,0.163,0.635

30757,0.128,0.222,0.13,0.249,0.27

30641,0.049,0.09,0.128,0.162,0.571

39897,0.093,0.04,0.171,0.18,0.516

39901,0.036,0.028,0.075,0.156,0.704

31023,0.145,0.025,0.15,0.236,0.443

31070,0.077,0.034,0.058,0.204,0.627

31705,0.033,0.037,0.045,0.159,0.726

30106,0.083,0.037,0.09,0.198,0.591

39837,0.045,0.062,0.156,0.253,0.485

31649,0.097,0.073,0.182,0.202,0.446

31329,0.044,0.064,0.145,0.272,0.475

30662,0.132,0.177,0.081,0.107,0.503

30477,0.062,0.044,0.142,0.252,0.5

30427,0.03,0.078,0.229,0.29,0.372

30513,0.075,0.088,0.125,0.112,0.6

30290,0.06,0.086,0.131,0.218,0.505

30162,0.186,0.036,0.234,0.148,0.395

30004,0.035,0.048,0.083,0.193,0.641

30662,0.168,0.074,0.117,0.215,0.425

30388,0.026,0.036,0.089,0.187,0.662

30513,0.128,0.042,0.087,0.198,0.545

30820,0.156,0.066,0.107,0.13,0.541

31525,0.048,0.071,0.145,0.251,0.485

30732,0.172,0.1,0.201,0.157,0.369

39829,0.063,0.139,0.116,0.264,0.417

30669,0.062,0.046,0.057,0.176,0.658

30099,0.036,0.054,0.081,0.19,0.639

30535,0.063,0.1,0.116,0.292,0.43

30567,0.061,0.069,0.128,0.198,0.545

31087,0.043,0.111,0.102,0.168,0.575

30153,0.184,0.123,0.165,0.184,0.345

31829,0.093,0.081,0.061,0.213,0.551

30662,0.092,0.061,0.14,0.207,0.5

30263,0.126,0.094,0.166,0.144,0.471

30233,0.103,0.048,0.091,0.181,0.578

31098,0.032,0.079,0.136,0.172,0.581

31749,0.098,0.091,0.126,0.224,0.46

30599,0.125,0.085,0.117,0.24,0.434

31038,0.082,0.059,0.181,0.118,0.56

31510,0.124,0.138,0.165,0.183,0.39

30823,0.251,0.055,0.099,0.102,0.493

30822,0.114,0.053,0.084,0.261,0.488

30477,0.119,0.053,0.109,0.251,0.468

31038,0.049,0.087,0.226,0.209,0.43

30256,0.07,0.06,0.171,0.293,0.406

31649,0.102,0.07,0.145,0.181,0.502

31065,0.122,0.056,0.141,0.291,0.391

31764,0.035,0.033,0.039,0.162,0.732

31301,0.007,0.099,0.066,0.215,0.614

30668,0.073,0.104,0.111,0.233,0.479

31301,0.014,0.119,0.086,0.159,0.621

31641,0.108,0.101,0.149,0.208,0.435

30597,0.035,0.086,0.13,0.245,0.504

30828,0.072,0.053,0.123,0.265,0.488

31327,0.034,0.076,0.188,0.221,0.481

31030,0.078,0.049,0.113,0.21,0.55

30647,0.165,0.084,0.055,0.186,0.511

31824,0.084,0.12,0.167,0.196,0.433

31830,0.109,0.086,0.138,0.15,0.517

39837,0.064,0.056,0.182,0.159,0.539

31730,0.044,0.112,0.055,0.159,0.63

31004,0.072,0.035,0.184,0.253,0.455

30474,0.114,0.083,0.174,0.228,0.401

30641,0.061,0.064,0.093,0.168,0.614

30724,0.193,0.03,0.182,0.177,0.417

31829,0.063,0.073,0.083,0.225,0.555

30233,0.094,0.076,0.123,0.207,0.5

30621,0.049,0.063,0.095,0.181,0.611

30669,0.056,0.082,0.054,0.181,0.627

30153,0.097,0.068,0.108,0.233,0.494

31030,0.027,0.074,0.172,0.16,0.567

30175,0.038,0.118,0.101,0.188,0.555

31510,0.05,0.143,0.127,0.157,0.522

30256,0.059,0.06,0.147,0.192,0.542

30153,0.106,0.071,0.192,0.145,0.485

31023,0.079,0.031,0.098,0.218,0.575

31061,0.059,0.093,0.118,0.214,0.516

39867,0.053,0.15,0.095,0.163,0.538

30552,0.1,0.083,0.124,0.229,0.464

39851,0.016,0.065,0.05,0.2,0.669

30813,0.068,0.059,0.114,0.18,0.578

30281,0.058,0.078,0.115,0.216,0.534

31058,0.07,0.102,0.117,0.214,0.497

30449,0.198,0.069,0.081,0.242,0.41

39861,0.073,0.079,0.202,0.135,0.51

30248,0.072,0.038,0.179,0.202,0.509

30577,0.087,0.116,0.116,0.31,0.37

31821,0.055,0.092,0.133,0.203,0.517

31764,0.055,0.056,0.046,0.202,0.641

31831,0.168,0.08,0.089,0.171,0.492

30669,0.065,0.048,0.086,0.158,0.644

30438,0.051,0.076,0.214,0.224,0.434

31039,0.126,0.069,0.182,0.201,0.422

31544,0.156,0.075,0.134,0.208,0.427

39885,0.019,0.029,0.03,0.167,0.755

31626,0.026,0.096,0.12,0.228,0.53

31794,0.066,0.088,0.122,0.227,0.496

30474,0.097,0.069,0.179,0.226,0.429

30546,0.076,0.096,0.098,0.199,0.531

30474,0.096,0.07,0.168,0.267,0.399

31833,0.175,0.031,0.119,0.178,0.497

31783,0.141,0.042,0.094,0.175,0.547

31020,0.04,0.077,0.188,0.148,0.547

30546,0.065,0.119,0.087,0.168,0.56

30256,0.16,0.1,0.114,0.206,0.421

30740,0.144,0.164,0.117,0.21,0.366

30019,0.106,0.127,0.184,0.141,0.442

31510,0.061,0.108,0.109,0.166,0.556

30819,0.095,0.065,0.14,0.226,0.474

31087,0.104,0.07,0.053,0.157,0.617

31598,0.029,0.139,0.143,0.139,0.55

39877,0.019,0.064,0.103,0.21,0.603

30428,0.135,0.078,0.162,0.23,0.395

30554,0.057,0.064,0.099,0.347,0.433

30740,0.185,0.068,0.203,0.142,0.403

31750,0.173,0.017,0.083,0.157,0.569

30660,0.08,0.086,0.114,0.172,0.548

31065,0.039,0.062,0.141,0.224,0.534

31781,0.069,0.056,0.083,0.187,0.605

96785,0.01,0.032,0.037,0.122,0.799

96762,0.011,0.012,0.027,0.151,0.798

96742,0.026,0.013,0.032,0.08,0.85

96752,0,0.021,0.046,0.108,0.825

96790,0.034,0.016,0.025,0.122,0.803

83735,0.118,0.078,0.084,0.194,0.526

83654,0.094,0.216,0.218,0.218,0.254

